"id","priority","requirement_status","release_evidence_status","evidence_refs","exception_ref","blocker_reason"
"PRD-001","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-002","P0","Approved","verified","docs/plans/m3-dirty-path-status-engine.md; packages/vscode-extension/src/status/statusRefreshScheduler.ts; packages/vscode-extension/src/status/dirtyPathPipeline.ts; packages/vscode-extension/src/status/repositoryWatcherService.ts; packages/vscode-extension/tests/statusRefreshScheduler.test.ts; packages/vscode-extension/tests/dirtyPathPipeline.test.ts; packages/vscode-extension/tests/repositoryWatcherService.test.ts; crates/subversionr-daemon/src/state.rs; crates/subversionr-daemon/tests/rpc_dispatch.rs","none","none"
"PRD-003","P0","Approved","verified","Reference/requirements.csv; packages/vscode-extension/package.json; packages/vscode-extension/package.nls.json; packages/vscode-extension/package.nls.ja.json; packages/vscode-extension/package.nls.zh-cn.json; packages/vscode-extension/l10n/bundle.l10n.json; packages/vscode-extension/l10n/bundle.l10n.ja.json; packages/vscode-extension/l10n/bundle.l10n.zh-cn.json; packages/vscode-extension/tests/extensionManifest.test.ts","none","none"
"PRD-004","P0","Approved","partial","Reference/12_TortoiseSVN_Integration.md; docs/release/m7-release-readiness-gates.md; docs/release/public-claim-matrix.md; packages/vscode-extension/src/security/externalToolConfiguration.ts; packages/vscode-extension/tests/externalToolConfiguration.test.ts; packages/vscode-extension/src/tortoise/tortoiseDetector.ts; packages/vscode-extension/tests/tortoiseDetector.test.ts; packages/vscode-extension/src/tortoise/tortoiseCommandController.ts; packages/vscode-extension/tests/tortoiseCommandController.test.ts; packages/vscode-extension/src/extension.ts; packages/vscode-extension/package.json; packages/vscode-extension/tests/extensionManifest.test.ts","none","installed Windows no-Tortoise E2E remains open"
"PRD-005","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-006","P0","Approved","partial","docs/plans/m3-dirty-path-status-engine.md; packages/vscode-extension/src/status/statusRefreshScheduler.ts; packages/vscode-extension/src/status/statusStaleNotificationHandler.ts; packages/vscode-extension/src/status/watcherOverflowDiagnostics.ts; packages/vscode-extension/src/backend/backendLifecycleUiService.ts; packages/vscode-extension/tests/statusRefreshScheduler.test.ts; packages/vscode-extension/tests/statusStaleNotificationHandler.test.ts; packages/vscode-extension/tests/backendLifecycleUiService.test.ts; packages/vscode-extension/tests/repositoryLifecycleNotificationService.test.ts; packages/vscode-extension/tests/extensionManifest.test.ts; packages/vscode-extension/tests/stateEngineBetaPerformanceGate.test.ts; scripts/release/test-state-engine-beta-performance.ps1; scripts/tests/release-state-engine-beta-performance-scripts.tests.ps1","none","installed idle CPU evidence, no-default-remote-polling integration evidence, and duplicate-notification UX evidence remain open"
"PRD-007","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-008","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-009","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-010","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-011","P0","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-012","P1","Approved","verified","crates/subversionr-daemon/tests/rpc_dispatch.rs; packages/vscode-extension/tests/diagnosticsCommandController.test.ts; packages/vscode-extension/tests/diagnosticsReportService.test.ts; packages/vscode-extension/tests/diagnosticsRedaction.test.ts; .github/ISSUE_TEMPLATE/01_bug_report.yml; .github/ISSUE_TEMPLATE/02_support_request.yml; .github/ISSUE_TEMPLATE/config.yml; docs/security/support-redaction-checklist.md; SECURITY.md; scripts/verify-support-intake.ps1; docs/release/security-evidence-matrix.md","none","none"
"PRD-013","P1","Approved","blocked","none","none","implementation-evidence-not-yet-audited"
"PRD-014","P0","Approved","verified","Reference/01_Project_Charter_and_Scope.md; Reference/05_System_Architecture.md; Reference/18_Governance_Decisions_and_Glossary.md; docs/adr/ADR-008-stable-vscode-apis.md; packages/vscode-extension/package.json; packages/vscode-extension/tsconfig.json; packages/vscode-extension/tests/extensionManifest.test.ts; package.json","none","none"
